,0,1,2
0,14HR05-0504S,14HR05-0504S,14HR05-0504S
1,14HR05-0504S,14HR05-0504S,14HR08-0654S
2,14HR05-0504S,14HR05-0504S,14HM08-0504S
3,14HR05-0504S,14HR05-0504S,14HM11-0404S
4,14HR05-0504S,14HR05-0504S,16HM09-1204S
5,14HR05-0504S,14HR05-0504S,16HM10-0604S
6,14HR05-0504S,14HR05-0504S,16HM13-0404S
7,14HR05-0504S,14HR05-0504S,16HM17-0304S
8,14HR05-0504S,14HR05-0504S,17HM08-1204S
9,14HR05-0504S,14HR05-0504S,17HM13-0316D
10,14HR05-0504S,14HR05-0504S,17HM13-0316S
11,14HR05-0504S,14HR05-0504S,17HM15-0406S
12,14HR05-0504S,14HR05-0504S,17HM15-0904S
13,14HR05-0504S,14HR05-0504S,17HM15-1004S
14,14HR05-0504S,14HR05-0504S,17ME15-1504S
15,14HR05-0504S,14HR05-0504S,17HM19-0406D
16,14HR05-0504S,14HR05-0504S,17HM19-1684S
17,14HR05-0504S,14HR05-0504S,17HM19-1684D
18,14HR05-0504S,14HR05-0504S,17HM19-2004S
19,14HR05-0504S,14HR05-0504S,17HM19-2004S1
20,14HR05-0504S,14HR05-0504S,23HM22-2804S
21,14HR05-0504S,14HR08-0654S,14HR05-0504S
22,14HR05-0504S,14HR08-0654S,14HR08-0654S
23,14HR05-0504S,14HR08-0654S,14HM08-0504S
24,14HR05-0504S,14HR08-0654S,14HM11-0404S
25,14HR05-0504S,14HR08-0654S,16HM09-1204S
26,14HR05-0504S,14HR08-0654S,16HM10-0604S
27,14HR05-0504S,14HR08-0654S,16HM13-0404S
28,14HR05-0504S,14HR08-0654S,16HM17-0304S
29,14HR05-0504S,14HR08-0654S,17HM08-1204S
30,14HR05-0504S,14HR08-0654S,17HM13-0316D
31,14HR05-0504S,14HR08-0654S,17HM13-0316S
32,14HR05-0504S,14HR08-0654S,17HM15-0406S
33,14HR05-0504S,14HR08-0654S,17HM15-0904S
34,14HR05-0504S,14HR08-0654S,17HM15-1004S
35,14HR05-0504S,14HR08-0654S,17ME15-1504S
36,14HR05-0504S,14HR08-0654S,17HM19-0406D
37,14HR05-0504S,14HR08-0654S,17HM19-1684S
38,14HR05-0504S,14HR08-0654S,17HM19-1684D
39,14HR05-0504S,14HR08-0654S,17HM19-2004S
40,14HR05-0504S,14HR08-0654S,17HM19-2004S1
41,14HR05-0504S,14HR08-0654S,23HM22-2804S
42,14HR05-0504S,14HM08-0504S,14HR05-0504S
43,14HR05-0504S,14HM08-0504S,14HR08-0654S
44,14HR05-0504S,14HM08-0504S,14HM08-0504S
45,14HR05-0504S,14HM08-0504S,14HM11-0404S
46,14HR05-0504S,14HM08-0504S,16HM09-1204S
47,14HR05-0504S,14HM08-0504S,16HM10-0604S
48,14HR05-0504S,14HM08-0504S,16HM13-0404S
49,14HR05-0504S,14HM08-0504S,16HM17-0304S
50,14HR05-0504S,14HM08-0504S,17HM08-1204S
51,14HR05-0504S,14HM08-0504S,17HM13-0316D
52,14HR05-0504S,14HM08-0504S,17HM13-0316S
53,14HR05-0504S,14HM08-0504S,17HM15-0406S
54,14HR05-0504S,14HM08-0504S,17HM15-0904S
55,14HR05-0504S,14HM08-0504S,17HM15-1004S
56,14HR05-0504S,14HM08-0504S,17ME15-1504S
57,14HR05-0504S,14HM08-0504S,17HM19-0406D
58,14HR05-0504S,14HM08-0504S,17HM19-1684S
59,14HR05-0504S,14HM08-0504S,17HM19-1684D
60,14HR05-0504S,14HM08-0504S,17HM19-2004S
61,14HR05-0504S,14HM08-0504S,17HM19-2004S1
62,14HR05-0504S,14HM08-0504S,23HM22-2804S
63,14HR05-0504S,14HM11-0404S,14HR05-0504S
64,14HR05-0504S,14HM11-0404S,14HR08-0654S
